"";"x"
"1";5.326655137
"2";4.4411185744
"3";3.8156453017
"4";3.8595671451
"5";4.5887552092
"6";4.0704005402
"7";4.1144887568
"8";3.7233631147
"9";4.9580029594
"10";4.1864977467
"11";3.765293375
"12";3.8272408015
"13";4.6101996119
"14";3.9396839358
"15";3.927555112
"16";3.893688142
"17";5.5501542748
"18";4.1006518302
"19";4.1439040928
"20";4.190439408
"21";4.6166697196
"22";4.5805582663
"23";4.2455651397
"24";3.915378095
"25";5.4662240017
"26";4.9165123535
"27";4.0124375454
"28";3.9461566091
"29";4.9279136899
"30";3.8206774485
"31";3.5740852766
"32";3.9637146716
"33";4.718717923
"34";4.251093394
"35";3.766511188
"36";3.941025137
"37";5.2273165051
"38";3.8116732035
"39";3.2695879289
"40";3.6594172376
"41";4.6786005946
"42";3.6501838064
"43";3.677605078
"44";3.4270306845
"45";4.1125299253
"46";3.8214941376
"47";3.6679441467
"48";3.5224637652
"49";4.1958040465
"50";3.8206106894
"51";3.6206310377
"52";3.7902203275
"53";4.7645294731
"54";4.0901067487
"55";4.5000347893
"56";3.7252548908
"57";5.1293572547
"58";3.991418174
"59";3.6058550548
"60";4.6703472668
"61";4.3320113826
"62";3.9730049655
"63";3.3369196711
"64";4.2790824213
"65";4.9093361361
"66";4.8129091839
"67";4.6349782213
"68";4.919987781
"69";4.8949076073
"70";4.5070246966
"71";4.569014423
"72";4.5840003874
"73";5.7625698992
"74";4.3827051571
"75";4.2859105748
"76";4.9551384063
